Area,Date,Unadjusted CPI Index
Northeast urban,4/1/14,252.506
"Size A - More than 1,500,000",4/1/14,254.392
"Size B/C - 50,000 to 1,500,000(3)",4/1/14,150.466
Midwest urban,4/1/14,226.214
"Size A - More than 1,500,000",4/1/14,226.582
"Size B/C - 50,000 to 1,500,000(3)",4/1/14,145.465
"Size D -  Nonmetropolitan  (less than 50,000)",4/1/14,223.141
South urban,4/1/14,231.346
"Size A - More than 1,500,000",4/1/14,232.318
"Size B/C - 50,000 to 1,500,000(3)",4/1/14,147.265
"Size D -  Nonmetropolitan  (less than 50,000)",4/1/14,237.596
West urban,4/1/14,239.808
"Size A - More than 1,500,000",4/1/14,245.096
"Size B/C - 50,000 to 1,500,000(3)",4/1/14,143.077
Size classes,4/1/14,
A(4),4/1/14,216.286
B/C(3),4/1/14,146.521
D,4/1/14,232.271
Selected local areas(5),4/1/14,
"Chicago-Gary-Kenosha, IL-IN-WI",4/1/14,229.848
"Los Angeles-Riverside-Orange County, CA",4/1/14,242.437
"New York-Northern N.J.-Long Island, NY-NJ-CT-PA",4/1/14,259.985
"Boston-Brockton-Nashua, MA-NH-ME-CT",4/1/14,
"Cleveland-Akron, OH",4/1/14,
"Dallas-Fort Worth, TX",4/1/14,
"Washington-Baltimore, DC-MD-VA-WV(6)",4/1/14,
"Atlanta, GA",4/1/14,220.62
"Detroit-Ann Arbor-Flint, MI",4/1/14,223.326
"Houston-Galveston-Brazoria, TX",4/1/14,213.309
"Miami-Fort Lauderdale, FL",4/1/14,244.073
"Philadelphia-Wilmington-Atlantic City, PA-NJ-DE-MD",4/1/14,243.694
"San Francisco-Oakland-San Jose, CA",4/1/14,251.495
"Seattle-Tacoma-Bremerton, WA",4/1/14,246.616
U.S. city average,5/1/14,237.9
Region and area size(2),5/1/14,
Northeast urban,5/1/14,253.598
"Size A - More than 1,500,000",5/1/14,255.342
"Size B/C - 50,000 to 1,500,000(3)",5/1/14,151.354
Midwest urban,5/1/14,226.565
"Size A - More than 1,500,000",5/1/14,226.893
"Size B/C - 50,000 to 1,500,000(3)",5/1/14,145.788
"Size D -  Nonmetropolitan  (less than 50,000)",5/1/14,223.215
South urban,5/1/14,231.762
"Size A - More than 1,500,000",5/1/14,232.808
"Size B/C - 50,000 to 1,500,000(3)",5/1/14,147.499
"Size D -  Nonmetropolitan  (less than 50,000)",5/1/14,237.974
West urban,5/1/14,241.35
"Size A - More than 1,500,000",5/1/14,246.51
"Size B/C - 50,000 to 1,500,000(3)",5/1/14,144.253
Size classes,5/1/14,
A(4),5/1/14,217.048
B/C(3),5/1/14,147.053
D,5/1/14,232.859
Selected local areas(5),5/1/14,
"Chicago-Gary-Kenosha, IL-IN-WI",5/1/14,229.612
"Los Angeles-Riverside-Orange County, CA",5/1/14,243.362
"New York-Northern N.J.-Long Island, NY-NJ-CT-PA",5/1/14,261.225
"Boston-Brockton-Nashua, MA-NH-ME-CT",5/1/14,255.209
"Cleveland-Akron, OH",5/1/14,221.413
"Dallas-Fort Worth, TX",5/1/14,219.59
"Washington-Baltimore, DC-MD-VA-WV(6)",5/1/14,155.198
"Atlanta, GA",5/1/14,
"Detroit-Ann Arbor-Flint, MI",5/1/14,
"Houston-Galveston-Brazoria, TX",5/1/14,
"Miami-Fort Lauderdale, FL",5/1/14,
"Philadelphia-Wilmington-Atlantic City, PA-NJ-DE-MD",5/1/14,
"San Francisco-Oakland-San Jose, CA",5/1/14,
"Seattle-Tacoma-Bremerton, WA",5/1/14,
U.S. city average,6/1/14,238.343
Region and area size(2),6/1/14,
Northeast urban,6/1/14,253.555
"Size A - More than 1,500,000",6/1/14,255.404
"Size B/C - 50,000 to 1,500,000(3)",6/1/14,151.162
Midwest urban,6/1/14,227.588
"Size A - More than 1,500,000",6/1/14,227.965
"Size B/C - 50,000 to 1,500,000(3)",6/1/14,146.488
"Size D -  Nonmetropolitan  (less than 50,000)",6/1/14,223.766
South urban,6/1/14,232.269
"Size A - More than 1,500,000",6/1/14,233.469
"Size B/C - 50,000 to 1,500,000(3)",6/1/14,147.733
"Size D -  Nonmetropolitan  (less than 50,000)",6/1/14,238.63
West urban,6/1/14,241.616
"Size A - More than 1,500,000",6/1/14,246.7
"Size B/C - 50,000 to 1,500,000(3)",6/1/14,144.522
Size classes,6/1/14,
A(4),6/1/14,217.454
B/C(3),6/1/14,147.314
D,6/1/14,233.386
Selected local areas(5),6/1/14,
"Chicago-Gary-Kenosha, IL-IN-WI",6/1/14,230.477
"Los Angeles-Riverside-Orange County, CA",6/1/14,243.528
"New York-Northern N.J.-Long Island, NY-NJ-CT-PA",6/1/14,261.35
"Boston-Brockton-Nashua, MA-NH-ME-CT",6/1/14,
"Cleveland-Akron, OH",6/1/14,
"Dallas-Fort Worth, TX",6/1/14,
"Washington-Baltimore, DC-MD-VA-WV(6)",6/1/14,
"Atlanta, GA",6/1/14,223.862
"Detroit-Ann Arbor-Flint, MI",6/1/14,224.482
"Houston-Galveston-Brazoria, TX",6/1/14,214.668
"Miami-Fort Lauderdale, FL",6/1/14,243.428
"Philadelphia-Wilmington-Atlantic City, PA-NJ-DE-MD",6/1/14,245.247
"San Francisco-Oakland-San Jose, CA",6/1/14,253.317
"Seattle-Tacoma-Bremerton, WA",6/1/14,247.642
U.S. city average,7/1/14,238.25
Region and area size(2),7/1/14,
Northeast urban,7/1/14,253.833
"Size A - More than 1,500,000",7/1/14,255.665
"Size B/C - 50,000 to 1,500,000(3)",7/1/14,151.359
Midwest urban,7/1/14,226.997
"Size A - More than 1,500,000",7/1/14,227.235
"Size B/C - 50,000 to 1,500,000(3)",7/1/14,146.164
"Size D -  Nonmetropolitan  (less than 50,000)",7/1/14,223.621
South urban,7/1/14,232.013
"Size A - More than 1,500,000",7/1/14,233.151
"Size B/C - 50,000 to 1,500,000(3)",7/1/14,147.559
"Size D -  Nonmetropolitan  (less than 50,000)",7/1/14,238.772
West urban,7/1/14,241.85
"Size A - More than 1,500,000",7/1/14,247.079
"Size B/C - 50,000 to 1,500,000(3)",7/1/14,144.435
Size classes,7/1/14,
A(4),7/1/14,217.413
B/C(3),7/1/14,147.186
D,7/1/14,233.496
Selected local areas(5),7/1/14,
"Chicago-Gary-Kenosha, IL-IN-WI",7/1/14,229.633
"Los Angeles-Riverside-Orange County, CA",7/1/14,243.727
"New York-Northern N.J.-Long Island, NY-NJ-CT-PA",7/1/14,261.498
"Boston-Brockton-Nashua, MA-NH-ME-CT",7/1/14,255.296
"Cleveland-Akron, OH",7/1/14,222.41
"Dallas-Fort Worth, TX",7/1/14,219.543
"Washington-Baltimore, DC-MD-VA-WV(6)",7/1/14,155.22
"Atlanta, GA",7/1/14,
"Detroit-Ann Arbor-Flint, MI",7/1/14,
"Houston-Galveston-Brazoria, TX",7/1/14,
"Miami-Fort Lauderdale, FL",7/1/14,
"Philadelphia-Wilmington-Atlantic City, PA-NJ-DE-MD",7/1/14,
"San Francisco-Oakland-San Jose, CA",7/1/14,
"Seattle-Tacoma-Bremerton, WA",7/1/14,
U.S. city average,8/1/14,237.852
Region and area size(2),8/1/14,
Northeast urban,8/1/14,253.185
"Size A - More than 1,500,000",8/1/14,255.226
"Size B/C - 50,000 to 1,500,000(3)",8/1/14,150.633
Midwest urban,8/1/14,226.587
"Size A - More than 1,500,000",8/1/14,226.789
"Size B/C - 50,000 to 1,500,000(3)",8/1/14,145.897
"Size D -  Nonmetropolitan  (less than 50,000)",8/1/14,223.432
South urban,8/1/14,231.611
"Size A - More than 1,500,000",8/1/14,232.902
"Size B/C - 50,000 to 1,500,000(3)",8/1/14,147.178
"Size D -  Nonmetropolitan  (less than 50,000)",8/1/14,238.834
West urban,8/1/14,241.66
"Size A - More than 1,500,000",8/1/14,246.74
"Size B/C - 50,000 to 1,500,000(3)",8/1/14,144.317
Size classes,8/1/14,
A(4),8/1/14,217.085
B/C(3),8/1/14,146.824
D,8/1/14,233.762
Selected local areas(5),8/1/14,
"Chicago-Gary-Kenosha, IL-IN-WI",8/1/14,229.753
"Los Angeles-Riverside-Orange County, CA",8/1/14,243.556
"New York-Northern N.J.-Long Island, NY-NJ-CT-PA",8/1/14,261.075
"Boston-Brockton-Nashua, MA-NH-ME-CT",8/1/14,
"Cleveland-Akron, OH",8/1/14,
"Dallas-Fort Worth, TX",8/1/14,
"Washington-Baltimore, DC-MD-VA-WV(6)",8/1/14,
"Atlanta, GA",8/1/14,223.657
"Detroit-Ann Arbor-Flint, MI",8/1/14,222.284
"Houston-Galveston-Brazoria, TX",8/1/14,214.102
"Miami-Fort Lauderdale, FL",8/1/14,243.124
"Philadelphia-Wilmington-Atlantic City, PA-NJ-DE-MD",8/1/14,245.303
"San Francisco-Oakland-San Jose, CA",8/1/14,253.354
"Seattle-Tacoma-Bremerton, WA",8/1/14,247.185
U.S. city average,9/1/14,238.031
Region and area size(2),9/1/14,
Northeast urban,9/1/14,253.154
"Size A - More than 1,500,000",9/1/14,255.23
"Size B/C - 50,000 to 1,500,000(3)",9/1/14,150.559
Midwest urban,9/1/14,226.913
"Size A - More than 1,500,000",9/1/14,226.85
"Size B/C - 50,000 to 1,500,000(3)",9/1/14,146.312
"Size D -  Nonmetropolitan  (less than 50,000)",9/1/14,224.125
South urban,9/1/14,231.762
"Size A - More than 1,500,000",9/1/14,233.126
"Size B/C - 50,000 to 1,500,000(3)",9/1/14,147.257
"Size D -  Nonmetropolitan  (less than 50,000)",9/1/14,238.812
West urban,9/1/14,241.92
"Size A - More than 1,500,000",9/1/14,246.933
"Size B/C - 50,000 to 1,500,000(3)",9/1/14,144.506
Size classes,9/1/14,
A(4),9/1/14,217.197
B/C(3),9/1/14,146.963
D,9/1/14,234.162
Selected local areas(5),9/1/14,
"Chicago-Gary-Kenosha, IL-IN-WI",9/1/14,229.829
"Los Angeles-Riverside-Orange County, CA",9/1/14,243.623
"New York-Northern N.J.-Long Island, NY-NJ-CT-PA",9/1/14,261.074
"Boston-Brockton-Nashua, MA-NH-ME-CT",9/1/14,255.878
"Cleveland-Akron, OH",9/1/14,221.242
"Dallas-Fort Worth, TX",9/1/14,219.38
"Washington-Baltimore, DC-MD-VA-WV(6)",9/1/14,155.522
"Atlanta, GA",9/1/14,
"Detroit-Ann Arbor-Flint, MI",9/1/14,
"Houston-Galveston-Brazoria, TX",9/1/14,
"Miami-Fort Lauderdale, FL",9/1/14,
"Philadelphia-Wilmington-Atlantic City, PA-NJ-DE-MD",9/1/14,
"San Francisco-Oakland-San Jose, CA",9/1/14,
"Seattle-Tacoma-Bremerton, WA",9/1/14,
U.S. city average,10/1/14,237.433
Region and area size(2),10/1/14,
Northeast urban,10/1/14,252.73
"Size A - More than 1,500,000",10/1/14,254.786
"Size B/C - 50,000 to 1,500,000(3)",10/1/14,150.333
Midwest urban,10/1/14,225.793
"Size A - More than 1,500,000",10/1/14,225.925
"Size B/C - 50,000 to 1,500,000(3)",10/1/14,145.419
"Size D -  Nonmetropolitan  (less than 50,000)",10/1/14,222.847
South urban,10/1/14,231.131
"Size A - More than 1,500,000",10/1/14,232.482
"Size B/C - 50,000 to 1,500,000(3)",10/1/14,146.905
"Size D -  Nonmetropolitan  (less than 50,000)",10/1/14,237.734
West urban,10/1/14,241.65
"Size A - More than 1,500,000",10/1/14,246.79
"Size B/C - 50,000 to 1,500,000(3)",10/1/14,144.214
Size classes,10/1/14,
A(4),10/1/14,216.747
B/C(3),10/1/14,146.541
D,10/1/14,233.15
Selected local areas(5),10/1/14,
"Chicago-Gary-Kenosha, IL-IN-WI",10/1/14,228.987
"Los Angeles-Riverside-Orange County, CA",10/1/14,243.341
"New York-Northern N.J.-Long Island, NY-NJ-CT-PA",10/1/14,260.5
"Boston-Brockton-Nashua, MA-NH-ME-CT",10/1/14,
"Cleveland-Akron, OH",10/1/14,
"Dallas-Fort Worth, TX",10/1/14,
"Washington-Baltimore, DC-MD-VA-WV(6)",10/1/14,
"Atlanta, GA",10/1/14,221.276
"Detroit-Ann Arbor-Flint, MI",10/1/14,221.988
"Houston-Galveston-Brazoria, TX",10/1/14,214.791
"Miami-Fort Lauderdale, FL",10/1/14,244.13
"Philadelphia-Wilmington-Atlantic City, PA-NJ-DE-MD",10/1/14,244.948
"San Francisco-Oakland-San Jose, CA",10/1/14,254.503
"Seattle-Tacoma-Bremerton, WA",10/1/14,247.854
U.S. city average,11/1/14,236.151
Region and area size(2),11/1/14,
Northeast urban,11/1/14,251.781
"Size A - More than 1,500,000",11/1/14,254.221
"Size B/C - 50,000 to 1,500,000(3)",11/1/14,149.15
Midwest urban,11/1/14,224.396
"Size A - More than 1,500,000",11/1/14,224.531
"Size B/C - 50,000 to 1,500,000(3)",11/1/14,144.56
"Size D -  Nonmetropolitan  (less than 50,000)",11/1/14,221.237
South urban,11/1/14,229.845
"Size A - More than 1,500,000",11/1/14,231.519
"Size B/C - 50,000 to 1,500,000(3)",11/1/14,145.976
"Size D -  Nonmetropolitan  (less than 50,000)",11/1/14,235.914
West urban,11/1/14,240.22
"Size A - More than 1,500,000",11/1/14,245.311
"Size B/C - 50,000 to 1,500,000(3)",11/1/14,143.398
Size classes,11/1/14,
A(4),11/1/14,215.755
B/C(3),11/1/14,145.609
D,11/1/14,231.496
Selected local areas(5),11/1/14,
"Chicago-Gary-Kenosha, IL-IN-WI",11/1/14,227.184
"Los Angeles-Riverside-Orange County, CA",11/1/14,241.753
"New York-Northern N.J.-Long Island, NY-NJ-CT-PA",11/1/14,259.382
"Boston-Brockton-Nashua, MA-NH-ME-CT",11/1/14,256.262
"Cleveland-Akron, OH",11/1/14,219.992
"Dallas-Fort Worth, TX",11/1/14,217.188
"Washington-Baltimore, DC-MD-VA-WV(6)",11/1/14,154.926
"Atlanta, GA",11/1/14,
"Detroit-Ann Arbor-Flint, MI",11/1/14,
"Houston-Galveston-Brazoria, TX",11/1/14,
"Miami-Fort Lauderdale, FL",11/1/14,
"Philadelphia-Wilmington-Atlantic City, PA-NJ-DE-MD",11/1/14,
"San Francisco-Oakland-San Jose, CA",11/1/14,
"Seattle-Tacoma-Bremerton, WA",11/1/14,
U.S. city average,12/1/14,234.812
Region and area size(2),12/1/14,
Northeast urban,12/1/14,250.519
"Size A - More than 1,500,000",12/1/14,253.05
"Size B/C - 50,000 to 1,500,000(3)",12/1/14,148.24
Midwest urban,12/1/14,222.821
"Size A - More than 1,500,000",12/1/14,223.021
"Size B/C - 50,000 to 1,500,000(3)",12/1/14,143.535
"Size D -  Nonmetropolitan  (less than 50,000)",12/1/14,219.393
South urban,12/1/14,228.451
"Size A - More than 1,500,000",12/1/14,230.384
"Size B/C - 50,000 to 1,500,000(3)",12/1/14,144.952
"Size D -  Nonmetropolitan  (less than 50,000)",12/1/14,234.54
West urban,12/1/14,239.095
"Size A - More than 1,500,000",12/1/14,244.204
"Size B/C - 50,000 to 1,500,000(3)",12/1/14,142.669
Size classes,12/1/14,
A(4),12/1/14,214.664
B/C(3),12/1/14,144.66
D,12/1/14,230.047
Selected local areas(5),12/1/14,
"Chicago-Gary-Kenosha, IL-IN-WI",12/1/14,226.262
"Los Angeles-Riverside-Orange County, CA",12/1/14,240.475
"New York-Northern N.J.-Long Island, NY-NJ-CT-PA",12/1/14,258.08
"Boston-Brockton-Nashua, MA-NH-ME-CT",12/1/14,
"Cleveland-Akron, OH",12/1/14,
"Dallas-Fort Worth, TX",12/1/14,
"Washington-Baltimore, DC-MD-VA-WV(6)",12/1/14,
"Atlanta, GA",12/1/14,218.058
"Detroit-Ann Arbor-Flint, MI",12/1/14,218.083
"Houston-Galveston-Brazoria, TX",12/1/14,212.169
"Miami-Fort Lauderdale, FL",12/1/14,242.676
"Philadelphia-Wilmington-Atlantic City, PA-NJ-DE-MD",12/1/14,242.912
"San Francisco-Oakland-San Jose, CA",12/1/14,252.273
"Seattle-Tacoma-Bremerton, WA",12/1/14,245.05
U.S. city average,1/1/15,233.707
Region and area size(2),1/1/15,
Northeast urban,1/1/15,250.016
"Size A - More than 1,500,000",1/1/15,252.758
"Size B/C - 50,000 to 1,500,000(3)",1/1/15,147.599
Midwest urban,1/1/15,221.545
"Size A - More than 1,500,000",1/1/15,221.935
"Size B/C - 50,000 to 1,500,000(3)",1/1/15,142.523
"Size D -  Nonmetropolitan  (less than 50,000)",1/1/15,218.08
South urban,1/1/15,226.855
"Size A - More than 1,500,000",1/1/15,229.071
"Size B/C - 50,000 to 1,500,000(3)",1/1/15,143.769
"Size D -  Nonmetropolitan  (less than 50,000)",1/1/15,233.145
West urban,1/1/15,238.318
"Size A - More than 1,500,000",1/1/15,243.655
"Size B/C - 50,000 to 1,500,000(3)",1/1/15,142.022
Size classes,1/1/15,
A(4),1/1/15,213.966
B/C(3),1/1/15,143.695
D,1/1/15,228.565
Selected local areas(5),1/1/15,
"Chicago-Gary-Kenosha, IL-IN-WI",1/1/15,225.852
"Los Angeles-Riverside-Orange County, CA",1/1/15,239.724
"New York-Northern N.J.-Long Island, NY-NJ-CT-PA",1/1/15,258.376
"Boston-Brockton-Nashua, MA-NH-ME-CT",1/1/15,254.556
"Cleveland-Akron, OH",1/1/15,218.536
"Dallas-Fort Worth, TX",1/1/15,214.899
"Washington-Baltimore, DC-MD-VA-WV(6)",1/1/15,153.376
"Atlanta, GA",1/1/15,
"Detroit-Ann Arbor-Flint, MI",1/1/15,
"Houston-Galveston-Brazoria, TX",1/1/15,
"Miami-Fort Lauderdale, FL",1/1/15,
"Philadelphia-Wilmington-Atlantic City, PA-NJ-DE-MD",1/1/15,
"San Francisco-Oakland-San Jose, CA",1/1/15,
"Seattle-Tacoma-Bremerton, WA",1/1/15,
U.S. city average,2/1/15,234.722
Region and area size(2),2/1/15,
Northeast urban,2/1/15,250.619
"Size A - More than 1,500,000",2/1/15,253.614
"Size B/C - 50,000 to 1,500,000(3)",2/1/15,147.565
Midwest urban,2/1/15,222.301
"Size A - More than 1,500,000",2/1/15,222.441
"Size B/C - 50,000 to 1,500,000(3)",2/1/15,143.184
"Size D -  Nonmetropolitan  (less than 50,000)",2/1/15,219.279
South urban,2/1/15,227.944
"Size A - More than 1,500,000",2/1/15,229.901
"Size B/C - 50,000 to 1,500,000(3)",2/1/15,144.591
"Size D -  Nonmetropolitan  (less than 50,000)",2/1/15,234.283
West urban,2/1/15,239.748
"Size A - More than 1,500,000",2/1/15,245.027
"Size B/C - 50,000 to 1,500,000(3)",2/1/15,143.005
Size classes,2/1/15,
A(4),2/1/15,214.804
B/C(3),2/1/15,144.386
D,2/1/15,229.805
Selected local areas(5),2/1/15,
"Chicago-Gary-Kenosha, IL-IN-WI",2/1/15,225.763
"Los Angeles-Riverside-Orange County, CA",2/1/15,241.297
"New York-Northern N.J.-Long Island, NY-NJ-CT-PA",2/1/15,259.24
"Boston-Brockton-Nashua, MA-NH-ME-CT",2/1/15,
"Cleveland-Akron, OH",2/1/15,
"Dallas-Fort Worth, TX",2/1/15,
"Washington-Baltimore, DC-MD-VA-WV(6)",2/1/15,
"Atlanta, GA",2/1/15,218.123
"Detroit-Ann Arbor-Flint, MI",2/1/15,216.488
"Houston-Galveston-Brazoria, TX",2/1/15,210.283
"Miami-Fort Lauderdale, FL",2/1/15,243.283
"Philadelphia-Wilmington-Atlantic City, PA-NJ-DE-MD",2/1/15,242.424
"San Francisco-Oakland-San Jose, CA",2/1/15,254.91
"Seattle-Tacoma-Bremerton, WA",2/1/15,245.496
U.S. city average,{year}-03-01,236.119
Region and area size(2),{year}-03-01,
Northeast urban,{year}-03-01,251.451
"Size A - More than 1,500,000",{year}-03-01,254.348
"Size B/C - 50,000 to 1,500,000(3)",{year}-03-01,148.225
Midwest urban,{year}-03-01,223.55
"Size A - More than 1,500,000",{year}-03-01,223.624
"Size B/C - 50,000 to 1,500,000(3)",{year}-03-01,144.018
"Size D -  Nonmetropolitan  (less than 50,000)",{year}-03-01,220.708
South urban,{year}-03-01,229.337
"Size A - More than 1,500,000",{year}-03-01,231.496
"Size B/C - 50,000 to 1,500,000(3)",{year}-03-01,145.392
"Size D -  Nonmetropolitan  (less than 50,000)",{year}-03-01,235.612
West urban,{year}-03-01,241.69
"Size A - More than 1,500,000",{year}-03-01,247.11
"Size B/C - 50,000 to 1,500,000(3)",{year}-03-01,143.887
Size classes,{year}-03-01,
A(4),{year}-03-01,216.096
B/C(3),{year}-03-01,145.186
D,{year}-03-01,231.539
Selected local areas(5),{year}-03-01,
"Chicago-Gary-Kenosha, IL-IN-WI",{year}-03-01,227.405
"Los Angeles-Riverside-Orange County, CA",{year}-03-01,243.738
"New York-Northern N.J.-Long Island, NY-NJ-CT-PA",{year}-03-01,259.647
"Boston-Brockton-Nashua, MA-NH-ME-CT",{year}-03-01,257.013
"Cleveland-Akron, OH",{year}-03-01,220.444
"Dallas-Fort Worth, TX",{year}-03-01,217.487
"Washington-Baltimore, DC-MD-VA-WV(6)",{year}-03-01,154.984
"Atlanta, GA",{year}-03-01,
"Detroit-Ann Arbor-Flint, MI",{year}-03-01,
"Houston-Galveston-Brazoria, TX",{year}-03-01,
"Miami-Fort Lauderdale, FL",{year}-03-01,
"Philadelphia-Wilmington-Atlantic City, PA-NJ-DE-MD",{year}-03-01,
"San Francisco-Oakland-San Jose, CA",{year}-03-01,
"Seattle-Tacoma-Bremerton, WA",{year}-03-01,
U.S. city average,4/1/15,236.599
Region and area size(2),4/1/15,
Northeast urban,4/1/15,251.76
"Size A - More than 1,500,000",4/1/15,254.614
"Size B/C - 50,000 to 1,500,000(3)",4/1/15,148.482
Midwest urban,4/1/15,223.797
"Size A - More than 1,500,000",4/1/15,224.088
"Size B/C - 50,000 to 1,500,000(3)",4/1/15,143.982
"Size D -  Nonmetropolitan  (less than 50,000)",4/1/15,220.79
South urban,4/1/15,229.957
"Size A - More than 1,500,000",4/1/15,231.908
"Size B/C - 50,000 to 1,500,000(3)",4/1/15,145.939
"Size D -  Nonmetropolitan  (less than 50,000)",4/1/15,235.764
West urban,4/1/15,242.302
"Size A - More than 1,500,000",4/1/15,247.51
"Size B/C - 50,000 to 1,500,000(3)",4/1/15,144.426
Size classes,4/1/15,
A(4),4/1/15,216.439
B/C(3),4/1/15,145.579
D,4/1/15,232.06
Selected local areas(5),4/1/15,
"Chicago-Gary-Kenosha, IL-IN-WI",4/1/15,227.704
