,Expenditure category,2013-01-01,2013-02-01,2013-03-01,2013-04-01,2013-05-01,2013-06-01,2013-07-01,2013-08-01,2013-09-01,2013-10-01,2013-11-01,2013-12-01
112,Baby food(4)(5),151.312,150.854,151.908,151.857,150.721,150.195,151.501,150.758,149.721,151.752,151.294,152.123
113,Other miscellaneous foods(4)(5),129.261,128.514,128.841,130.006,129.088,130.475,129.289,127.832,128.813,128.125,130.292,130.119
114,Prepared salads(4)(7)(6),113.295,114.531,115.259,115.606,112.53,115.189,113.646,114.739,114.317,115.017,115.905,116.321
115,Food away from home(4),240.713,240.93,241.409,242.236,242.642,243.016,243.409,243.811,244.036,244.35,244.97,245.3
116,Full service meals and snacks(4)(5),149.916,150.205,150.518,151.07,151.28,151.513,151.693,151.869,152.133,152.154,152.488,152.736
117,Limited service meals and snacks(4)(5),153.178,153.119,153.363,153.897,154.336,154.612,154.913,155.242,155.234,155.601,155.938,156.133
118,Food at employee sites and schools(5),153.876,154.123,154.347,154.579,154.461,154.521,155.328,155.735,156.039,156.627,156.924,157.276
119,Food at elementary and secondary schools(4)(8)(6),129.143,129.27,129.233,129.347,129.284,129.287,130.028,130.379,130.886,131.287,131.527,131.727
120,Food from vending machines and mobile vendors(4)(5),142.584,143.191,143.553,143.365,143.5,143.637,143.805,144.051,142.373,142.674,143.384,143.585
121,Other food away from home(4)(5),168.126,168.142,168.816,169.45,169.165,169.331,169.371,169.64,170.17,170.356,171.608,171.467
122,,,,,,,,,,,,,
123,Energy,234.624,248.146,249.565,244.757,247.805,251.921,251.37,250.011,248.513,238.524,233.136,234.542
124,Energy commodities,292.609,320.258,324.016,312.27,314.009,315.529,314.38,313.275,309.888,295.802,286.975,289.461
125,Fuel oil and other fuels(4),338.084,346.07,341.601,330.459,321.606,318.848,320.787,325.601,330.69,331.026,334.213,345.274
126,Fuel oil(4),381.889,393.782,385.552,368.552,357.838,355.966,359.78,364.124,367.519,365.45,366.749,375.607
127,"Propane, kerosene, and firewood(4)(9)",324.047,326.104,328.022,325.945,318.848,313.783,312.476,319.222,328.687,333.781,341.321,359.01
128,Motor fuel,288.108,316.58,320.739,309.048,311.326,313.058,311.757,310.351,306.547,291.812,282.423,284.445
129,Gasoline (all types),286.417,315.243,319.523,307.814,310.352,312.212,310.886,309.355,305.299,290.306,280.742,282.773
130,"Gasoline, unleaded regular(6)",285.55,314.751,318.998,306.958,309.328,311.149,309.928,308.409,304.131,288.934,279.239,281.449
131,"Gasoline, unleaded midgrade(10)(6)",293.412,323.169,327.254,315.963,321.035,322.906,319.314,317.707,314.408,299.119,289.098,290.346
132,"Gasoline, unleaded premium(6)",278.243,304.201,308.422,298.334,300.255,302.117,301.963,300.19,296.961,283.554,275.251,276.812
133,Other motor fuels(5),282.202,295.581,295.602,286.555,281.192,279.029,278.645,281.009,284.929,280.089,277.288,278.685
134,Energy services(11),189.444,189.679,188.856,190.669,195.172,202.075,202.087,200.406,200.7,194.248,191.984,192.394
135,Electricity(11),194.525,194.739,193.856,194.553,199.557,208.737,209.538,208.514,209.106,200.392,197.442,198.043
136,Utility (piped) gas service(11),171.597,171.888,171.248,176.159,179.173,179.557,177.356,173.861,173.315,173.329,173.035,172.898
137,,,,,,,,,,,,,
138,All items less food and energy,231.612,232.432,233.052,233.236,233.462,233.64,233.792,234.258,234.782,235.162,235.243,235.0
139,Commodities less food and energy commodities,146.492,147.093,147.717,147.992,147.762,147.385,146.872,147.088,147.659,147.814,147.191,146.277
140,Household furnishings and supplies(4)(12),97.511,97.662,97.368,97.321,97.457,97.399,96.786,96.41,96.198,96.018,95.527,95.237
141,Window and floor coverings and other linens(4)(5),66.351,65.872,65.216,65.123,65.51,65.438,64.82,64.455,64.382,64.263,64.122,63.625
142,Floor coverings(4)(5),110.991,110.206,109.834,108.522,107.439,107.319,107.503,107.367,107.903,107.866,107.056,106.969
143,Window coverings(4)(5),74.442,75.47,75.558,75.481,74.327,73.851,73.978,74.131,74.716,74.339,73.803,73.934
144,Other linens(4)(5),53.844,52.893,51.977,52.031,53.123,53.206,52.264,51.709,51.331,51.304,51.392,50.653
145,Furniture and bedding(4),118.898,119.357,119.705,119.711,119.57,119.84,119.085,118.86,117.87,117.757,117.271,116.859
146,Bedroom furniture(4),134.445,134.805,135.931,134.667,134.063,135.414,136.989,137.123,134.41,134.891,135.388,134.516
147,"Living room, kitchen, and dining room furniture(4)(5)",89.418,90.095,90.875,91.03,91.343,91.316,89.686,89.696,89.544,89.726,89.429,88.97
148,Other furniture(5),79.912,79.638,77.997,78.933,78.349,77.977,77.396,76.466,76.07,74.792,73.255,73.716
149,Infants' furniture(4)(8)(6),,,,,,,,,,,91.165,94.016
150,Appliances(5),88.323,88.086,87.817,87.417,86.794,86.787,85.79,85.43,85.67,85.434,84.499,84.061
151,Major appliances(5),101.853,101.465,101.9,101.34,100.137,100.3,98.494,97.594,97.685,97.842,95.94,95.261
152,Laundry equipment(6),117.777,117.252,117.216,116.803,114.969,115.064,113.318,112.184,111.99,111.706,110.305,107.84
153,Other appliances(4)(5),71.767,71.691,70.74,70.514,70.486,70.314,70.148,70.333,70.711,70.093,70.144,69.964
154,Other household equipment and furnishings(5),65.129,65.175,64.292,64.003,64.547,64.156,63.531,62.707,62.617,62.403,62.004,61.571
155,"Clocks, lamps, and decorator items(4)",55.053,54.644,53.403,52.925,53.815,53.454,53.197,51.982,51.79,51.449,50.991,50.7
156,Indoor plants and flowers(13),125.439,127.853,128.462,127.735,127.88,126.81,125.648,126.085,126.008,126.042,125.215,125.067
157,Dishes and flatware(4)(5),60.868,60.868,60.44,60.419,59.983,59.426,56.741,55.991,56.719,57.032,57.676,56.464
158,Nonelectric cookware and tableware(5),97.981,98.312,97.097,97.841,98.07,98.119,97.609,97.228,96.878,96.524,95.693,94.738
159,"Tools, hardware, outdoor equipment and supplies(5)",91.946,92.254,92.04,92.592,92.603,92.379,92.345,92.276,92.367,91.604,91.086,90.914
160,"Tools, hardware and supplies(4)(5)",99.607,100.407,100.384,101.092,101.128,100.864,100.752,101.002,101.147,100.952,100.83,100.007
161,Outdoor equipment and supplies(5),88.197,88.278,87.973,88.505,88.524,88.3,88.302,88.099,88.179,87.174,86.483,86.605
162,Housekeeping supplies(4),189.474,190.007,189.926,189.53,189.913,190.185,188.972,188.519,188.136,188.777,188.056,188.169
163,Household cleaning products(4)(5),122.401,122.874,122.347,121.962,121.826,121.84,121.243,120.832,120.284,120.12,120.114,120.335
164,Household paper products(4)(5),168.984,169.328,170.446,170.064,170.753,172.075,170.175,168.972,170.392,171.585,170.491,170.053
165,Miscellaneous household products(4)(5),120.207,120.466,120.278,120.203,120.707,120.426,119.922,120.264,119.323,120.065,119.315,119.532
166,Apparel,124.687,126.303,128.279,128.861,127.952,126.205,124.215,125.767,129.701,131.07,129.435,126.461
167,Men's and boys' apparel,119.613,119.655,120.427,123.346,123.931,122.52,120.293,120.236,121.744,124.709,123.037,119.602
168,Men's apparel,124.77,124.619,125.499,129.468,130.302,128.337,125.6,125.861,126.43,129.203,126.802,123.2
169,"Men's suits, sport coats, and outerwear",115.451,120.232,121.006,124.04,124.369,122.979,114.862,113.705,117.656,117.21,118.356,115.218
170,Men's furnishings,155.076,157.625,154.098,160.017,160.297,160.497,159.325,160.259,160.061,160.423,160.414,156.248
171,Men's shirts and sweaters(5),81.516,78.893,81.222,84.293,85.124,82.261,80.966,83.069,84.618,85.499,85.212,81.842
172,Men's pants and shorts,121.027,119.399,120.991,123.539,124.798,123.261,122.14,119.204,115.484,125.265,114.957,113.014
173,Boys' apparel,100.452,101.097,101.514,101.077,100.871,101.224,100.646,99.599,104.002,107.492,108.139,105.311
174,Women's and girls' apparel,109.437,112.222,115.81,115.217,112.921,109.9,107.612,110.83,117.077,118.373,116.713,113.944
175,Women's apparel,110.222,114.882,119.354,119.189,116.721,113.002,110.127,113.868,119.872,121.055,119.671,116.714
176,Women's outerwear,97.795,97.295,100.188,100.719,96.921,88.783,85.407,94.218,112.567,119.28,117.695,113.548
177,Women's dresses,109.03,115.092,127.805,128.294,122.717,116.906,108.99,117.234,134.058,132.994,128.274,120.974
178,Women's suits and separates(5),81.159,87.375,91.054,90.503,88.28,84.264,81.726,85.007,89.466,89.002,87.268,85.853
179,"Women's underwear, nightwear, sportswear and accessories(5)",101.934,101.861,102.545,102.748,102.72,103.497,103.647,103.221,101.622,104.546,105.862,103.725
180,Girls' apparel,105.17,99.47,99.04,96.52,95.013,95.165,95.543,96.375,103.685,105.479,102.585,100.679
181,Footwear,132.998,134.158,134.956,136.096,136.392,135.947,133.566,134.295,136.601,136.965,135.627,132.589
182,Men's footwear(4),136.286,138.229,137.204,137.177,135.671,135.735,136.389,138.164,137.939,137.375,136.504,134.511
183,Boys' and girls' footwear,138.861,140.479,140.593,141.436,140.458,139.423,136.767,136.321,140.529,142.491,144.091,143.894
184,Women's footwear,127.234,127.7,129.917,131.898,133.856,133.353,129.226,129.803,132.844,133.096,130.22,125.344
185,Infants' and toddlers' apparel,117.993,118.9,117.609,116.549,116.454,114.806,113.853,114.043,115.777,116.852,118.039,117.58
186,Jewelry and watches(9),166.746,167.17,167.456,166.997,166.612,169.771,171.958,170.591,171.807,169.925,166.212,163.132
187,Watches(4)(9),120.416,121.74,122.225,121.452,121.434,123.744,124.26,117.102,122.912,121.245,121.346,120.953
188,Jewelry(9),176.133,175.995,176.136,175.905,175.349,178.669,181.592,183.703,182.146,180.336,174.81,170.502
189,Transportation commodities less motor fuel(12),105.554,105.916,106.449,106.836,106.938,107.133,107.165,107.126,106.806,106.49,106.141,106.087
190,New vehicles,145.871,145.925,145.989,146.188,145.955,146.076,145.726,145.316,145.457,145.488,145.643,145.766
191,New cars and trucks(5)(6),101.107,101.164,101.197,101.339,101.178,101.259,101.015,100.753,100.835,100.813,100.926,101.022
192,New cars(6),145.712,145.688,145.592,145.673,145.334,145.057,144.692,144.342,144.23,144.169,144.232,144.36
193,New trucks(14)(6),151.164,151.426,151.604,152.043,151.875,152.219,151.939,151.489,151.881,151.877,152.181,152.481
194,Used cars and trucks,145.26,146.718,148.753,150.16,151.099,151.76,152.554,153.252,151.75,150.413,148.74,148.183
195,Motor vehicle parts and equipment(4),147.931,147.659,147.916,147.22,146.763,146.384,146.141,145.673,145.379,145.246,145.088,145.664
196,Tires(4),133.582,133.143,133.288,132.29,131.648,131.032,130.539,129.876,129.345,129.209,128.885,129.637
197,Vehicle accessories other than tires(4)(5),160.861,161.047,161.541,161.708,161.782,162.048,162.47,162.556,162.9,162.795,163.074,163.124
198,Vehicle parts and equipment other than tires(4)(6),151.354,151.396,152.49,152.189,152.9,152.908,153.546,153.646,154.132,154.009,154.248,153.799
199,"Motor oil, coolant, and fluids(4)(6)",362.78,362.728,359.25,364.244,361.383,358.579,356.817,359.943,358.763,360.883,361.77,363.48
200,Medical care commodities,334.046,334.405,335.198,335.293,333.064,333.837,334.673,335.985,336.527,337.478,337.006,333.801
201,Medicinal drugs(4)(12),108.74,108.86,109.133,109.153,108.419,108.68,109.009,109.471,109.622,109.917,109.812,108.742
202,Prescription drugs,440.579,441.776,442.912,442.31,438.721,439.723,441.489,444.625,445.156,446.043,446.032,441.589
203,Nonprescription drugs(4)(12),99.402,98.829,99.05,99.724,99.648,99.94,99.825,99.029,99.245,99.811,99.319,98.445
204,Medical equipment and supplies(4)(12),101.553,101.599,101.546,101.79,101.264,101.318,100.471,100.203,100.863,101.434,100.341,99.878
205,Recreation commodities(12),94.06,94.223,94.235,94.255,94.367,93.845,93.656,93.373,92.672,92.649,92.638,91.979
206,Video and audio products(12),74.664,74.39,73.9,73.107,73.262,72.664,71.977,71.617,71.128,70.868,70.82,70.193
207,Televisions,4.938,4.863,4.806,4.689,4.723,4.662,4.508,4.445,4.372,4.355,4.331,4.277
208,Other video equipment(4)(5),11.479,11.496,11.681,11.778,11.667,11.443,11.251,11.224,11.106,10.902,10.975,10.68
209,Audio equipment(4),41.218,41.416,40.222,39.744,39.731,39.298,39.799,39.68,39.69,39.433,39.76,39.128
210,"Audio discs, tapes and other media(4)(5)",89.104,87.747,88.19,88.279,88.487,88.716,89.562,90.134,90.0,90.171,89.546,90.758
211,Pets and pet products(4),199.803,200.77,201.38,201.941,202.182,200.689,200.725,200.819,200.141,200.949,201.354,200.117
212,Pet food(4)(5)(6),152.172,152.95,154.021,154.338,154.931,154.583,154.647,154.33,154.238,154.423,154.447,153.766
213,"Purchase of pets, pet supplies, accessories(4)(5)(6)",115.348,115.591,115.256,115.766,115.598,114.064,114.161,114.478,113.561,114.472,115.261,114.391
214,Sporting goods(4),118.54,118.609,118.153,118.555,118.915,118.372,118.867,117.917,116.871,117.292,117.825,117.054
215,Sports vehicles including bicycles(4),150.403,150.189,149.905,151.235,150.657,150.192,151.566,150.031,148.163,148.848,149.848,149.239
216,Sports equipment,90.106,90.361,89.811,89.52,90.499,89.932,89.778,89.28,88.863,89.068,89.269,88.429
217,Photographic equipment and supplies,59.204,61.257,62.748,61.722,61.912,61.143,60.034,60.997,60.181,59.412,58.92,57.776
218,Film and photographic supplies(4)(5)(6),99.145,,,,,,,,,,,104.095
219,Photographic equipment(5)(6),25.827,26.708,27.399,26.867,26.953,26.864,26.317,26.488,26.016,25.613,25.359,24.736
220,Recreational reading materials(4),230.151,230.201,231.404,231.792,231.741,232.193,232.219,232.641,231.616,232.654,233.694,233.323
221,Newspapers and magazines(4)(5),151.707,151.232,151.611,152.025,152.538,153.086,152.981,154.072,153.425,154.215,156.022,155.909
222,Recreational books(4)(5),100.517,100.986,101.881,101.909,101.39,101.364,101.48,100.944,100.47,100.826,100.297,100.051
223,Other recreational goods(5),52.647,52.651,52.664,52.854,52.802,52.568,52.323,51.997,51.263,50.797,50.315,49.846
