,Area,Date,Unadjusted CPI Index
69,"Seattle-Tacoma-Bremerton, WA",2014-02-01,242.77
70,U.S. city average,{year}-03-01,236.293
71,Region and area size(2),{year}-03-01,
72,Northeast urban,{year}-03-01,252.413
73,"Size A - More than 1,500,000",{year}-03-01,254.112
74,"Size B/C - 50,000 to 1,500,000(3)",{year}-03-01,150.706
75,Midwest urban,{year}-03-01,225.485
76,"Size A - More than 1,500,000",{year}-03-01,225.869
77,"Size B/C - 50,000 to 1,500,000(3)",{year}-03-01,144.898
78,"Size D -  Nonmetropolitan  (less than 50,000)",{year}-03-01,222.821
79,South urban,{year}-03-01,230.095
80,"Size A - More than 1,500,000",{year}-03-01,231.495
81,"Size B/C - 50,000 to 1,500,000(3)",{year}-03-01,146.254
82,"Size D -  Nonmetropolitan  (less than 50,000)",{year}-03-01,236.324
83,West urban,{year}-03-01,239.092
84,"Size A - More than 1,500,000",{year}-03-01,244.259
85,"Size B/C - 50,000 to 1,500,000(3)",{year}-03-01,142.813
86,Size classes,{year}-03-01,
87,A(4),{year}-03-01,215.687
88,B/C(3),{year}-03-01,145.929
89,D,{year}-03-01,231.45
90,Selected local areas(5),{year}-03-01,
91,"Chicago-Gary-Kenosha, IL-IN-WI",{year}-03-01,228.784
92,"Los Angeles-Riverside-Orange County, CA",{year}-03-01,242.491
93,"New York-Northern N.J.-Long Island, NY-NJ-CT-PA",{year}-03-01,259.971
94,"Boston-Brockton-Nashua, MA-NH-ME-CT",{year}-03-01,254.982
95,"Cleveland-Akron, OH",{year}-03-01,220.962
96,"Dallas-Fort Worth, TX",{year}-03-01,218.715
97,"Washington-Baltimore, DC-MD-VA-WV(6)",{year}-03-01,154.6
98,"Atlanta, GA",{year}-03-01,
99,"Detroit-Ann Arbor-Flint, MI",{year}-03-01,
100,"Houston-Galveston-Brazoria, TX",{year}-03-01,
101,"Miami-Fort Lauderdale, FL",{year}-03-01,
102,"Philadelphia-Wilmington-Atlantic City, PA-NJ-DE-MD",{year}-03-01,
103,"San Francisco-Oakland-San Jose, CA",{year}-03-01,
104,"Seattle-Tacoma-Bremerton, WA",{year}-03-01,
105,U.S. city average,2014-04-01,237.072
106,Region and area size(2),2014-04-01,
107,Northeast urban,2014-04-01,252.506
108,"Size A - More than 1,500,000",2014-04-01,254.392
109,"Size B/C - 50,000 to 1,500,000(3)",2014-04-01,150.466
110,Midwest urban,2014-04-01,226.214
111,"Size A - More than 1,500,000",2014-04-01,226.582
112,"Size B/C - 50,000 to 1,500,000(3)",2014-04-01,145.465
113,"Size D -  Nonmetropolitan  (less than 50,000)",2014-04-01,223.141
114,South urban,2014-04-01,231.346
115,"Size A - More than 1,500,000",2014-04-01,232.318
116,"Size B/C - 50,000 to 1,500,000(3)",2014-04-01,147.265
117,"Size D -  Nonmetropolitan  (less than 50,000)",2014-04-01,237.596
118,West urban,2014-04-01,239.808
119,"Size A - More than 1,500,000",2014-04-01,245.096
120,"Size B/C - 50,000 to 1,500,000(3)",2014-04-01,143.077
121,Size classes,2014-04-01,
122,A(4),2014-04-01,216.286
123,B/C(3),2014-04-01,146.521
124,D,2014-04-01,232.271
125,Selected local areas(5),2014-04-01,
126,"Chicago-Gary-Kenosha, IL-IN-WI",2014-04-01,229.848
127,"Los Angeles-Riverside-Orange County, CA",2014-04-01,242.437
128,"New York-Northern N.J.-Long Island, NY-NJ-CT-PA",2014-04-01,259.985
129,"Boston-Brockton-Nashua, MA-NH-ME-CT",2014-04-01,
130,"Cleveland-Akron, OH",2014-04-01,
131,"Dallas-Fort Worth, TX",2014-04-01,
132,"Washington-Baltimore, DC-MD-VA-WV(6)",2014-04-01,
133,"Atlanta, GA",2014-04-01,220.62
134,"Detroit-Ann Arbor-Flint, MI",2014-04-01,223.326
135,"Houston-Galveston-Brazoria, TX",2014-04-01,213.309
136,"Miami-Fort Lauderdale, FL",2014-04-01,244.073
137,"Philadelphia-Wilmington-Atlantic City, PA-NJ-DE-MD",2014-04-01,243.694
138,"San Francisco-Oakland-San Jose, CA",2014-04-01,251.495
139,"Seattle-Tacoma-Bremerton, WA",2014-04-01,246.616
140,U.S. city average,2014-05-01,237.9
141,Region and area size(2),2014-05-01,
142,Northeast urban,2014-05-01,253.598
143,"Size A - More than 1,500,000",2014-05-01,255.342
144,"Size B/C - 50,000 to 1,500,000(3)",2014-05-01,151.354
145,Midwest urban,2014-05-01,226.565
146,"Size A - More than 1,500,000",2014-05-01,226.893
147,"Size B/C - 50,000 to 1,500,000(3)",2014-05-01,145.788
148,"Size D -  Nonmetropolitan  (less than 50,000)",2014-05-01,223.215
149,South urban,2014-05-01,231.762
150,"Size A - More than 1,500,000",2014-05-01,232.808
151,"Size B/C - 50,000 to 1,500,000(3)",2014-05-01,147.499
152,"Size D -  Nonmetropolitan  (less than 50,000)",2014-05-01,237.974
153,West urban,2014-05-01,241.35
154,"Size A - More than 1,500,000",2014-05-01,246.51
155,"Size B/C - 50,000 to 1,500,000(3)",2014-05-01,144.253
156,Size classes,2014-05-01,
157,A(4),2014-05-01,217.048
158,B/C(3),2014-05-01,147.053
159,D,2014-05-01,232.859
160,Selected local areas(5),2014-05-01,
161,"Chicago-Gary-Kenosha, IL-IN-WI",2014-05-01,229.612
162,"Los Angeles-Riverside-Orange County, CA",2014-05-01,243.362
163,"New York-Northern N.J.-Long Island, NY-NJ-CT-PA",2014-05-01,261.225
164,"Boston-Brockton-Nashua, MA-NH-ME-CT",2014-05-01,255.209
165,"Cleveland-Akron, OH",2014-05-01,221.413
166,"Dallas-Fort Worth, TX",2014-05-01,219.59
167,"Washington-Baltimore, DC-MD-VA-WV(6)",2014-05-01,155.198
168,"Atlanta, GA",2014-05-01,
169,"Detroit-Ann Arbor-Flint, MI",2014-05-01,
170,"Houston-Galveston-Brazoria, TX",2014-05-01,
171,"Miami-Fort Lauderdale, FL",2014-05-01,
172,"Philadelphia-Wilmington-Atlantic City, PA-NJ-DE-MD",2014-05-01,
173,"San Francisco-Oakland-San Jose, CA",2014-05-01,
174,"Seattle-Tacoma-Bremerton, WA",2014-05-01,
175,U.S. city average,2014-06-01,238.343
176,Region and area size(2),2014-06-01,
177,Northeast urban,2014-06-01,253.555
178,"Size A - More than 1,500,000",2014-06-01,255.404
179,"Size B/C - 50,000 to 1,500,000(3)",2014-06-01,151.162
180,Midwest urban,2014-06-01,227.588
181,"Size A - More than 1,500,000",2014-06-01,227.965
182,"Size B/C - 50,000 to 1,500,000(3)",2014-06-01,146.488
183,"Size D -  Nonmetropolitan  (less than 50,000)",2014-06-01,223.766
184,South urban,2014-06-01,232.269
185,"Size A - More than 1,500,000",2014-06-01,233.469
186,"Size B/C - 50,000 to 1,500,000(3)",2014-06-01,147.733
187,"Size D -  Nonmetropolitan  (less than 50,000)",2014-06-01,238.63
188,West urban,2014-06-01,241.616
189,"Size A - More than 1,500,000",2014-06-01,246.7
190,"Size B/C - 50,000 to 1,500,000(3)",2014-06-01,144.522
191,Size classes,2014-06-01,
192,A(4),2014-06-01,217.454
193,B/C(3),2014-06-01,147.314
194,D,2014-06-01,233.386
195,Selected local areas(5),2014-06-01,
196,"Chicago-Gary-Kenosha, IL-IN-WI",2014-06-01,230.477
197,"Los Angeles-Riverside-Orange County, CA",2014-06-01,243.528
198,"New York-Northern N.J.-Long Island, NY-NJ-CT-PA",2014-06-01,261.35
199,"Boston-Brockton-Nashua, MA-NH-ME-CT",2014-06-01,
200,"Cleveland-Akron, OH",2014-06-01,
201,"Dallas-Fort Worth, TX",2014-06-01,
202,"Washington-Baltimore, DC-MD-VA-WV(6)",2014-06-01,
203,"Atlanta, GA",2014-06-01,223.862
204,"Detroit-Ann Arbor-Flint, MI",2014-06-01,224.482
205,"Houston-Galveston-Brazoria, TX",2014-06-01,214.668
206,"Miami-Fort Lauderdale, FL",2014-06-01,243.428
207,"Philadelphia-Wilmington-Atlantic City, PA-NJ-DE-MD",2014-06-01,245.247
208,"San Francisco-Oakland-San Jose, CA",2014-06-01,253.317
209,"Seattle-Tacoma-Bremerton, WA",2014-06-01,247.642
210,U.S. city average,2014-07-01,238.25
211,Region and area size(2),2014-07-01,
212,Northeast urban,2014-07-01,253.833
213,"Size A - More than 1,500,000",2014-07-01,255.665
214,"Size B/C - 50,000 to 1,500,000(3)",2014-07-01,151.359
215,Midwest urban,2014-07-01,226.997
216,"Size A - More than 1,500,000",2014-07-01,227.235
217,"Size B/C - 50,000 to 1,500,000(3)",2014-07-01,146.164
218,"Size D -  Nonmetropolitan  (less than 50,000)",2014-07-01,223.621
219,South urban,2014-07-01,232.013
220,"Size A - More than 1,500,000",2014-07-01,233.151
221,"Size B/C - 50,000 to 1,500,000(3)",2014-07-01,147.559
222,"Size D -  Nonmetropolitan  (less than 50,000)",2014-07-01,238.772
223,West urban,2014-07-01,241.85
224,"Size A - More than 1,500,000",2014-07-01,247.079
225,"Size B/C - 50,000 to 1,500,000(3)",2014-07-01,144.435
226,Size classes,2014-07-01,
227,A(4),2014-07-01,217.413
228,B/C(3),2014-07-01,147.186
229,D,2014-07-01,233.496
230,Selected local areas(5),2014-07-01,
231,"Chicago-Gary-Kenosha, IL-IN-WI",2014-07-01,229.633
232,"Los Angeles-Riverside-Orange County, CA",2014-07-01,243.727
233,"New York-Northern N.J.-Long Island, NY-NJ-CT-PA",2014-07-01,261.498
234,"Boston-Brockton-Nashua, MA-NH-ME-CT",2014-07-01,255.296
235,"Cleveland-Akron, OH",2014-07-01,222.41
236,"Dallas-Fort Worth, TX",2014-07-01,219.543
237,"Washington-Baltimore, DC-MD-VA-WV(6)",2014-07-01,155.22
238,"Atlanta, GA",2014-07-01,
239,"Detroit-Ann Arbor-Flint, MI",2014-07-01,
240,"Houston-Galveston-Brazoria, TX",2014-07-01,
241,"Miami-Fort Lauderdale, FL",2014-07-01,
242,"Philadelphia-Wilmington-Atlantic City, PA-NJ-DE-MD",2014-07-01,
243,"San Francisco-Oakland-San Jose, CA",2014-07-01,
244,"Seattle-Tacoma-Bremerton, WA",2014-07-01,
245,U.S. city average,2014-08-01,237.852
246,Region and area size(2),2014-08-01,
247,Northeast urban,2014-08-01,253.185
248,"Size A - More than 1,500,000",2014-08-01,255.226
249,"Size B/C - 50,000 to 1,500,000(3)",2014-08-01,150.633
250,Midwest urban,2014-08-01,226.587
251,"Size A - More than 1,500,000",2014-08-01,226.789
252,"Size B/C - 50,000 to 1,500,000(3)",2014-08-01,145.897
253,"Size D -  Nonmetropolitan  (less than 50,000)",2014-08-01,223.432
254,South urban,2014-08-01,231.611
255,"Size A - More than 1,500,000",2014-08-01,232.902
256,"Size B/C - 50,000 to 1,500,000(3)",2014-08-01,147.178
257,"Size D -  Nonmetropolitan  (less than 50,000)",2014-08-01,238.834
258,West urban,2014-08-01,241.66
259,"Size A - More than 1,500,000",2014-08-01,246.74
260,"Size B/C - 50,000 to 1,500,000(3)",2014-08-01,144.317
261,Size classes,2014-08-01,
262,A(4),2014-08-01,217.085
263,B/C(3),2014-08-01,146.824
264,D,2014-08-01,233.762
265,Selected local areas(5),2014-08-01,
266,"Chicago-Gary-Kenosha, IL-IN-WI",2014-08-01,229.753
267,"Los Angeles-Riverside-Orange County, CA",2014-08-01,243.556
268,"New York-Northern N.J.-Long Island, NY-NJ-CT-PA",2014-08-01,261.075
269,"Boston-Brockton-Nashua, MA-NH-ME-CT",2014-08-01,
270,"Cleveland-Akron, OH",2014-08-01,
271,"Dallas-Fort Worth, TX",2014-08-01,
272,"Washington-Baltimore, DC-MD-VA-WV(6)",2014-08-01,
273,"Atlanta, GA",2014-08-01,223.657
274,"Detroit-Ann Arbor-Flint, MI",2014-08-01,222.284
275,"Houston-Galveston-Brazoria, TX",2014-08-01,214.102
276,"Miami-Fort Lauderdale, FL",2014-08-01,243.124
277,"Philadelphia-Wilmington-Atlantic City, PA-NJ-DE-MD",2014-08-01,245.303
278,"San Francisco-Oakland-San Jose, CA",2014-08-01,253.354
279,"Seattle-Tacoma-Bremerton, WA",2014-08-01,247.185
280,U.S. city average,2014-09-01,238.031
281,Region and area size(2),2014-09-01,
282,Northeast urban,2014-09-01,253.154
283,"Size A - More than 1,500,000",2014-09-01,255.23
284,"Size B/C - 50,000 to 1,500,000(3)",2014-09-01,150.559
285,Midwest urban,2014-09-01,226.913
286,"Size A - More than 1,500,000",2014-09-01,226.85
287,"Size B/C - 50,000 to 1,500,000(3)",2014-09-01,146.312
288,"Size D -  Nonmetropolitan  (less than 50,000)",2014-09-01,224.125
289,South urban,2014-09-01,231.762
290,"Size A - More than 1,500,000",2014-09-01,233.126
291,"Size B/C - 50,000 to 1,500,000(3)",2014-09-01,147.257
292,"Size D -  Nonmetropolitan  (less than 50,000)",2014-09-01,238.812
293,West urban,2014-09-01,241.92
294,"Size A - More than 1,500,000",2014-09-01,246.933
295,"Size B/C - 50,000 to 1,500,000(3)",2014-09-01,144.506
296,Size classes,2014-09-01,
297,A(4),2014-09-01,217.197
298,B/C(3),2014-09-01,146.963
299,D,2014-09-01,234.162
300,Selected local areas(5),2014-09-01,
301,"Chicago-Gary-Kenosha, IL-IN-WI",2014-09-01,229.829
302,"Los Angeles-Riverside-Orange County, CA",2014-09-01,243.623
303,"New York-Northern N.J.-Long Island, NY-NJ-CT-PA",2014-09-01,261.074
304,"Boston-Brockton-Nashua, MA-NH-ME-CT",2014-09-01,255.878
305,"Cleveland-Akron, OH",2014-09-01,221.242
306,"Dallas-Fort Worth, TX",2014-09-01,219.38
307,"Washington-Baltimore, DC-MD-VA-WV(6)",2014-09-01,155.522
308,"Atlanta, GA",2014-09-01,
309,"Detroit-Ann Arbor-Flint, MI",2014-09-01,
310,"Houston-Galveston-Brazoria, TX",2014-09-01,
311,"Miami-Fort Lauderdale, FL",2014-09-01,
312,"Philadelphia-Wilmington-Atlantic City, PA-NJ-DE-MD",2014-09-01,
313,"San Francisco-Oakland-San Jose, CA",2014-09-01,
314,"Seattle-Tacoma-Bremerton, WA",2014-09-01,
315,U.S. city average,2014-10-01,237.433
316,Region and area size(2),2014-10-01,
317,Northeast urban,2014-10-01,252.73
318,"Size A - More than 1,500,000",2014-10-01,254.786
319,"Size B/C - 50,000 to 1,500,000(3)",2014-10-01,150.333
320,Midwest urban,2014-10-01,225.793
321,"Size A - More than 1,500,000",2014-10-01,225.925
322,"Size B/C - 50,000 to 1,500,000(3)",2014-10-01,145.419
323,"Size D -  Nonmetropolitan  (less than 50,000)",2014-10-01,222.847
324,South urban,2014-10-01,231.131
325,"Size A - More than 1,500,000",2014-10-01,232.482
326,"Size B/C - 50,000 to 1,500,000(3)",2014-10-01,146.905
327,"Size D -  Nonmetropolitan  (less than 50,000)",2014-10-01,237.734
328,West urban,2014-10-01,241.65
329,"Size A - More than 1,500,000",2014-10-01,246.79
330,"Size B/C - 50,000 to 1,500,000(3)",2014-10-01,144.214
331,Size classes,2014-10-01,
332,A(4),2014-10-01,216.747
333,B/C(3),2014-10-01,146.541
334,D,2014-10-01,233.15
335,Selected local areas(5),2014-10-01,
336,"Chicago-Gary-Kenosha, IL-IN-WI",2014-10-01,228.987
337,"Los Angeles-Riverside-Orange County, CA",2014-10-01,243.341
338,"New York-Northern N.J.-Long Island, NY-NJ-CT-PA",2014-10-01,260.5
339,"Boston-Brockton-Nashua, MA-NH-ME-CT",2014-10-01,
340,"Cleveland-Akron, OH",2014-10-01,
341,"Dallas-Fort Worth, TX",2014-10-01,
342,"Washington-Baltimore, DC-MD-VA-WV(6)",2014-10-01,
343,"Atlanta, GA",2014-10-01,221.276
344,"Detroit-Ann Arbor-Flint, MI",2014-10-01,221.988
345,"Houston-Galveston-Brazoria, TX",2014-10-01,214.791
346,"Miami-Fort Lauderdale, FL",2014-10-01,244.13
347,"Philadelphia-Wilmington-Atlantic City, PA-NJ-DE-MD",2014-10-01,244.948
348,"San Francisco-Oakland-San Jose, CA",2014-10-01,254.503
349,"Seattle-Tacoma-Bremerton, WA",2014-10-01,247.854
350,U.S. city average,2014-11-01,236.151
351,Region and area size(2),2014-11-01,
352,Northeast urban,2014-11-01,251.781
353,"Size A - More than 1,500,000",2014-11-01,254.221
354,"Size B/C - 50,000 to 1,500,000(3)",2014-11-01,149.15
355,Midwest urban,2014-11-01,224.396
356,"Size A - More than 1,500,000",2014-11-01,224.531
357,"Size B/C - 50,000 to 1,500,000(3)",2014-11-01,144.56
358,"Size D -  Nonmetropolitan  (less than 50,000)",2014-11-01,221.237
359,South urban,2014-11-01,229.845
360,"Size A - More than 1,500,000",2014-11-01,231.519
361,"Size B/C - 50,000 to 1,500,000(3)",2014-11-01,145.976
362,"Size D -  Nonmetropolitan  (less than 50,000)",2014-11-01,235.914
363,West urban,2014-11-01,240.22
364,"Size A - More than 1,500,000",2014-11-01,245.311
365,"Size B/C - 50,000 to 1,500,000(3)",2014-11-01,143.398
366,Size classes,2014-11-01,
367,A(4),2014-11-01,215.755
368,B/C(3),2014-11-01,145.609
369,D,2014-11-01,231.496
370,Selected local areas(5),2014-11-01,
371,"Chicago-Gary-Kenosha, IL-IN-WI",2014-11-01,227.184
372,"Los Angeles-Riverside-Orange County, CA",2014-11-01,241.753
373,"New York-Northern N.J.-Long Island, NY-NJ-CT-PA",2014-11-01,259.382
374,"Boston-Brockton-Nashua, MA-NH-ME-CT",2014-11-01,256.262
375,"Cleveland-Akron, OH",2014-11-01,219.992
376,"Dallas-Fort Worth, TX",2014-11-01,217.188
377,"Washington-Baltimore, DC-MD-VA-WV(6)",2014-11-01,154.926
378,"Atlanta, GA",2014-11-01,
379,"Detroit-Ann Arbor-Flint, MI",2014-11-01,
380,"Houston-Galveston-Brazoria, TX",2014-11-01,
381,"Miami-Fort Lauderdale, FL",2014-11-01,
382,"Philadelphia-Wilmington-Atlantic City, PA-NJ-DE-MD",2014-11-01,
383,"San Francisco-Oakland-San Jose, CA",2014-11-01,
384,"Seattle-Tacoma-Bremerton, WA",2014-11-01,
385,U.S. city average,2014-12-01,234.812
386,Region and area size(2),2014-12-01,
387,Northeast urban,2014-12-01,250.519
388,"Size A - More than 1,500,000",2014-12-01,253.05
389,"Size B/C - 50,000 to 1,500,000(3)",2014-12-01,148.24
390,Midwest urban,2014-12-01,222.821
391,"Size A - More than 1,500,000",2014-12-01,223.021
392,"Size B/C - 50,000 to 1,500,000(3)",2014-12-01,143.535
393,"Size D -  Nonmetropolitan  (less than 50,000)",2014-12-01,219.393
394,South urban,2014-12-01,228.451
395,"Size A - More than 1,500,000",2014-12-01,230.384
396,"Size B/C - 50,000 to 1,500,000(3)",2014-12-01,144.952
397,"Size D -  Nonmetropolitan  (less than 50,000)",2014-12-01,234.54
398,West urban,2014-12-01,239.095
399,"Size A - More than 1,500,000",2014-12-01,244.204
400,"Size B/C - 50,000 to 1,500,000(3)",2014-12-01,142.669
401,Size classes,2014-12-01,
402,A(4),2014-12-01,214.664
403,B/C(3),2014-12-01,144.66
404,D,2014-12-01,230.047
405,Selected local areas(5),2014-12-01,
406,"Chicago-Gary-Kenosha, IL-IN-WI",2014-12-01,226.262
407,"Los Angeles-Riverside-Orange County, CA",2014-12-01,240.475
408,"New York-Northern N.J.-Long Island, NY-NJ-CT-PA",2014-12-01,258.08
409,"Boston-Brockton-Nashua, MA-NH-ME-CT",2014-12-01,
410,"Cleveland-Akron, OH",2014-12-01,
411,"Dallas-Fort Worth, TX",2014-12-01,
412,"Washington-Baltimore, DC-MD-VA-WV(6)",2014-12-01,
413,"Atlanta, GA",2014-12-01,218.058
414,"Detroit-Ann Arbor-Flint, MI",2014-12-01,218.083
415,"Houston-Galveston-Brazoria, TX",2014-12-01,212.169
416,"Miami-Fort Lauderdale, FL",2014-12-01,242.676
417,"Philadelphia-Wilmington-Atlantic City, PA-NJ-DE-MD",2014-12-01,242.912
418,"San Francisco-Oakland-San Jose, CA",2014-12-01,252.273
419,"Seattle-Tacoma-Bremerton, WA",2014-12-01,245.05
